Network Name,IP Address,u_marsha,u_lsp
BOSCY,96.86.69.187,BOSCY,SingleDigits
BWIFM,65.216.246.143,BWIFM,SingleDigits
CTDCY,47.176.19.114,CTDCY,SingleDigits
CTDRI,47.176.225.194,CTDRI,SingleDigits
DENWW,50.207.133.83,DENWW,SingleDigits
DFWDS,12.5.51.53,DFWDS,SONIFI
DTWDI,12.1.118.71,DTWDI,SingleDigits
EWRWS,74.10.136.164,EWRWS,SingleDigits
FLLBR,170.55.150.147,FLLBR,SingleDigits
FYVFC,70.182.114.2,FYVFC,SONIFI
HNLKS,64.129.1.8,HNLKS,SingleDigits
HNLLC,64.129.1.15,HNLLC,SingleDigits
HOUGP,12.233.84.170,HOUGP,SingleDigits
HOUIW,50.207.201.6,HOUIW,SingleDigits
HOUWL,12.196.232.16,HOUWL,SingleDigits
IADWF,208.250.66.8,IADWF,GuestTek
IAHAP,12.97.203.243,IAHAP,SingleDigits
ILGSS,50.227.149.50,ILGSS,SingleDigits
INDST,70.60.133.210,INDST,SingleDigits
JAXAL,12.237.80.141,JAXAL,SONIFI
JAXSH,4.79.101.231,JAXSH,SingleDigits
LAXHW,12.230.36.66,LAXHW,SingleDigits
LAXPW,198.44.220.5,LAXPW,SingleDigits
LAXRL,12.108.114.67,LAXRL,SingleDigits
LGBRN,72.37.134.19,LGBRN,SingleDigits
MCOAP,67.201.64.11,MCOAP,SingleDigits
MCICC,4.17.247.131,MCICC,SingleDigits
MEMCD,12.49.164.41,MEMCD,SingleDigits
MIAAP,65.205.152.67,MIAAP,SingleDigits
MIACS,65.205.152.101,MIACS,SingleDigits
MIAEB,12.26.136.96,MIAEB,SingleDigits
MRYCA,12.151.35.131,MRYCA,SingleDigits
PDXOR,65.140.146.140,PDXOR,SingleDigits
PHXSF,184.191.143.238,PHXSF,SingleDigits
PHXST,64.158.128.131,PHXST,SingleDigits
PHXNO,65.200.13.131,PHXNO,SingleDigits
PSPSR,209.118.130.10,PSPSR,GuestTek
RNORZ,12.153.217.121,RNORZ,SingleDigits
SACMC,12.238.89.170,SACMC,SingleDigits
SANDM,12.9.178.6,SANDM,SingleDigits
SDFAP,74.219.153.41,SDFAP,SONIFI
SFORZ,12.203.141.197,SFORZ,SingleDigits
SNAVO,64.147.5.163,SNAVO,SingleDigits
STLFN,71.91.244.86,STLFN,SingleDigits
TPASP,71.44.219.121,TPASP,SONIFI
YQRAK,207.195.40.44,YQRAK,SingleDigits
YQMFP,207.179.178.234,YQMFP,SingleDigits
YSEWV,173.214.130.163,YSEWV,SingleDigits
YULSI,24.37.194.131,YULSI,SingleDigits
YSEWI,173.214.130.99,YSEWI,SingleDigits
YYCFI,204.191.60.226,YYCFI,SONIFI
YYCWI,206.174.202.43,YYCWI,SingleDigits
YYCXA,208.118.127.68,YYCXA,SingleDigits
YYZCY,99.209.12.198,YYZCY,SingleDigits
YYZDL,209.5.237.225,YYZDL,SingleDigits
YYZTC,76.9.197.176,YYZTC,SingleDigits
CUNFD,187.188.16.179,CUNFD,SingleDigits
TIJFI,189.197.63.234,TIJFI,SingleDigits
AHNRZ,207.5.47.71,AHNRZ,SingleDigits
PHXLC,65.154.156.50,PHXLC,SingleDigits
DBQTS,207.191.204.40,DBQTS,SingleDigits
EVVFJ,147.0.102.163,EVVFJ,SingleDigits
MEMTX,12.49.140.67,MEMTX,SingleDigits
ORFPT,67.52.174.221,ORFPT,SafetyNetAccess
SHVTS,12.10.71.11,SHVTS,SingleDigits
PNSRP,12.131.252.201,PNSRP,SingleDigits
TLHCY,208.44.197.8,TLHCY,SONIFI
AZOZO,96.36.55.130,AZOZO,Allbridge
CHIXS,198.41.89.115,CHIXS,Allbridge
CLEAK,70.61.255.230,CLEAK,Allbridge
DALAC,12.47.142.194,DALAC,Allbridge
DALAS,192.210.23.146,DALAS,Allbridge
DALPR,97.105.138.146,DALPR,Allbridge
DENFA,204.131.50.66,DENFA,SONIFI
DENDA,65.126.187.66,DENDA,Allbridge
DENFI,199.117.93.194,DENFI,Allbridge
DFWAR,12.5.251.3,DFWAR,Allbridge
DFWTW,12.202.118.34,DFWTW,Allbridge
DROFI,69.39.5.218,DROFI,Allbridge
ERISI,98.103.156.199,ERISI,SONIFI
EWRMV,69.74.89.52,EWRMV,Allbridge
FLGCY,207.192.242.194,FLGCY,SONIFI
FWARI,12.187.55.130,FWARI,SONIFI
GRBDT,12.175.17.130,GRBDT,Blueprint RF
GSOCY,70.61.84.123,GSOCY,Allbridge
HOUPS,12.28.69.2,HOUPS,Cloud5
LASEL,24.120.204.82,LASEL,SONIFI
LITRV,216.163.8.138,LITRV,Allbridge
LRUTS,216.161.41.55,LRUTS,Allbridge
MEMGR,12.168.167.194,MEMGR,SONIFI
MGMTM,24.96.80.20,MGMTM,Allbridge
MKEFI,70.62.154.114,MKEFI,Allbridge
MKEWE,12.28.102.2,MKEWE,Blueprint RF
OKCAP,12.52.165.18,OKCAP,Allbridge
PAHFI,12.107.245.181,PAHFI,Allbridge
RDURB,98.101.158.91,RDURB,Allbridge
RDURX,66.57.248.11,RDURX,Allbridge
SACCX,207.183.240.202,SACCX,SONIFI
SANOX,12.181.158.210,SANOX,Allbridge
TBNFI,45.45.185.233,TBNFI,SONIFI
WGOFI,204.111.19.51,WGOFI,Allbridge
HOUCT,50.202.153.149,HOUCT,Allbridge
CHIRL,12.28.2.119,CHIRL,Comcast Business
MIAMD,50.79.149.209,MIAMD,SingleDigits
SRQCY,170.55.47.68,SRQCY,SONIFI
SRQRI,199.27.246.2,SRQRI,SONIFI
CLTRD,66.57.97.226,CLTRD,SingleDigits
PITHW,173.225.48.4,PITHW,Concord
CLECI,12.231.113.3,CLECI,Comcast Business
MCOOI,12.187.10.196,MCOOI,Comcast Business
BWRAR,12.26.223.130,BWRAR,SafetyNetAccess
CHIDM,12.106.178.2,CHIDM,Blueprint RF
DALFM,131.150.68.154,DALFM,GuestTek
LAXDB,192.210.29.180,LAXDB,HotSpot International
ANCRI,209.112.153.2,ANCRI,GuestTek
POURK,208.240.100.210,POURK,SONIFI
EVVCY,131.106.198.115,EVVCY,GuestTek
ATLMA,12.164.183.247,ATLMA,SONIFI
BDLHF,50.226.185.51,BDLHF,Cloud5
GRIGI,104.218.81.98,GRIGI,Cloud5
HHHGR,67.201.73.151,HHHGR,Cloud5
LEBFI,72.15.30.19,LEBFI,Cloud5
MCOLX,216.53.153.67,MCOLX,Cloud5
MCOLZ,216.53.153.104,MCOLZ,Cloud5
SFOMD,12.205.173.171,SFOMD,Cloud5
WASVS,50.202.183.85,WASVS,SONIFI
HOUFW,12.200.153.162,HOUFW,GuestTek
SFOFP,12.138.45.140,SFOFP,Cloud5
CVGDT,216.68.36.66,CVGDT,SafetyNetAccess
MEMEF,12.184.130.94,MEMEF,Allbridge
BWITF,50.230.238.42,BWITF,SONIFI
ISPMF,95.56.189.109,ISPMF,SONIFI
HNLWS,64.129.1.0,HNLWS,SingleDigits
MADFI,190.57.23.228,MADFI,Esferize
PDXRZ,206.222.221.5,PDXRZ,Cloud5
BNADA,72.166.81.142,BNADA,Cloud5
LEXFF,216.207.217.123,LEXFF,Allbridge
MEMOB,63.209.200.133,MEMOB,Allbridge
AUSAL,134.6.226.3,AUSAL,GuestTek
BISFI,63.158.236.2,BISFI,GuestTek
BISRI,63.232.94.130,BISRI,GuestTek
BOSYW,67.132.13.2,BOSYW,GuestTek
BWISL,50.204.232.194,BWISL,GuestTek
CHICC,12.105.31.198,CHICC,GuestTek
CHIIL,12.1.222.66,CHIIL,GuestTek
CHSCN,12.36.226.66,CHSCN,GuestTek
CMHTH,98.100.91.162,CMHTH,GuestTek
CMPDV,50.228.126.2,CMPDV,GuestTek
CSGAB,162.218.252.219,CSGAB,GuestTek
CVGBC,216.196.183.2,CVGBC,GuestTek
DALFP,172.108.152.242,DALFP,GuestTek
DALMQ,12.5.168.226,DALMQ,GuestTek
DENCH,50.204.17.70,DENCH,GuestTek
DMOFI,65.127.255.194,DMOFI,GuestTek
DTTRH,12.33.55.10,DTTRH,GuestTek
DTWYC,12.168.29.2,DTWYC,GuestTek
FSDRI,207.108.30.66,FSDRI,GuestTek
FSDSF,207.108.30.130,FSDSF,GuestTek
GRRRI,12.2.86.66,GRRRI,GuestTek
GRRSL,12.34.33.226,GRRSL,GuestTek
GSOGW,70.60.224.120,GSOGW,GuestTek
HSVAL,143.59.206.84,HSVAL,GuestTek
HZLFI,24.229.88.141,HZLFI,GuestTek
ICTTE,12.199.11.98,ICTTE,GuestTek
ALOFW,64.237.24.201,ALOFW,Allbridge
MEMFG,12.183.61.98,MEMFG,SONIFI
JKTFA,180.178.103.35,JKTFA,Reivernet
JEDFP,5.42.246.226,JEDFP,Hoist Group
ROMWI,195.110.152.0,ROMWI,Quadriga
EDIFP,138.248.224.176,EDIFP,Quadriga
MADCU,195.55.124.212,MADCU,Esferize
BCNKS,213.0.30.41,BCNKS,Esferize
AGPMG,195.77.240.169,AGPMG,Esferize
ALCAL,195.77.43.52,ALCAL,Esferize
VLCAP,195.77.43.180,VLCAP,Esferize
FLRFI,93.47.81.54,FLRFI,Esferize
VITBK,194.224.83.211,VITBK,Esferize
VITBK,194.224.83.211,VITBK,Esferize
DXBGC,5.195.11.0,DXBGC,GuestTek
DOHXR,78.100.140.120,DOHXR,GuestTek
PFO40,213.7.210.56,PFO40,GuestTek
FJRMD,83.111.150.40,FJRMD,GuestTek
MXLFI,201.171.250.123,MXLFI,NimbusNetworks
PIOLC,200.48.32.163,PIOLC,NimbusNetworks
RECPG,187.1.167.148,RECPG,NimbusNetworks
BUDER,86.101.159.1,BUDER,Mikenopa
DUBAL,81.173.12.252,DUBAL,Mikenopa
BERAC,217.27.204.174,BERAC,Mikenopa
ALARZ,188.0.136.163,ALARZ,Mikenopa
ADBBR,176.235.244.157,ADBBR,Mikenopa
LYSOX,85.184.70.172,LYSOX,Mikenopa
RTMTX,85.146.236.144,RTMTX,Mikenopa
LONHW,167.98.166.82,LONHW,Mikenopa
LNZCY,83.164.154.100,LNZCY,Mikenopa
LONTW,167.98.11.0,LONTW,Mikenopa
BCNSU,80.28.245.149,BCNSU,Mikenopa
KLXLC,62.74.250.120,KLXLC,Mikenopa
PARAC,46.218.2.101,PARAC,Mikenopa
BRUER,194.78.224.66,BRUER,Mikenopa
HELAK,79.134.115.38,HELAK,Mikenopa
HHNAK,5.45.1.244,HHNAK,Mikenopa
MLAMC,194.158.52.142,MLAMC,Mikenopa
NCEAC,46.218.68.246,NCEAC,Mikenopa
